step,train_cost,train_acc,test_cost,test_acc,n_train
64,0.1306,0.9569,0.1125,0.962,20000
65,0.1217,0.9593,0.1198,0.96,20000
66,0.1255,0.9582,0.1122,0.9623,20000
67,0.1295,0.9575,0.1134,0.9618,20000
68,0.1224,0.9601,0.1065,0.9648,20000
69,0.1264,0.9576,0.1041,0.9663,20000
70,0.1206,0.9612,0.1016,0.9668,20000
71,0.1215,0.9602,0.1079,0.9653,20000
72,0.1208,0.9604,0.1032,0.9673,20000
73,0.117,0.9612,0.1139,0.962,20000
74,0.1175,0.9612,0.1016,0.9665,20000
75,0.1171,0.961,0.1134,0.963,20000
76,0.1208,0.9588,0.1104,0.9638,20000
77,0.1148,0.9628,0.1068,0.9653,20000
78,0.1149,0.9616,0.107,0.9673,20000
79,0.1102,0.9644,0.1042,0.966,20000
80,0.11,0.9641,0.1058,0.9658,20000
81,0.1093,0.9642,0.1046,0.9648,20000
82,0.1105,0.9636,0.1063,0.9645,20000
83,0.1078,0.9638,0.1044,0.9658,20000
84,0.1078,0.9651,0.1041,0.966,20000
85,0.1089,0.9638,0.1034,0.967,20000
86,0.1087,0.965,0.1018,0.966,20000
87,0.1056,0.9642,0.102,0.9665,20000
88,0.1073,0.9644,0.1012,0.967,20000
89,0.1065,0.9654,0.1016,0.9665,20000
90,0.1066,0.9644,0.0978,0.968,20000
91,0.1073,0.9637,0.0994,0.9678,20000
92,0.1075,0.9645,0.1001,0.9678,20000
93,0.1039,0.9653,0.102,0.9663,20000
94,0.1079,0.9646,0.1023,0.9658,20000
95,0.1043,0.9649,0.1029,0.9658,20000
96,0.104,0.9656,0.1018,0.9668,20000
97,0.1059,0.9642,0.1018,0.9663,20000
98,0.1054,0.9645,0.1021,0.9665,20000
99,0.1037,0.9644,0.102,0.9665,20000
100,0.1052,0.9658,0.102,0.9663,20000
